2018-12-18 12:42:51,575 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\test\resources
2018-12-18 12:42:54,337 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:42:54,352 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\main\resources
2018-12-18 12:42:54,352 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:42:54,352 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\test\resources
2018-12-18 12:43:09,642 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:43:09,642 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\main\resources
2018-12-18 12:43:09,642 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:43:09,642 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\test\resources
2018-12-18 12:43:38,682 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:43:38,682 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\main\resources
2018-12-18 12:43:38,682 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:43:38,682 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\test\resources
2018-12-18 12:44:01,024 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:44:01,024 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\main\resources
2018-12-18 12:44:01,024 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-18 12:44:01,024 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\CoderTechnology\TRAINING\WEB-SERVICE\Spring_300_MVC_JPA_REST_Ng\src\test\resources
